Recipe Name,Ingredients,Cost to Make,Npc Value,Profit,Type,Table
Dagger of Thumping/White Iron Dagger with White Iron Hilt,"Smithing Hammer, White Iron Dagger Blade, White Iron Hilt, Chunk of Coal",777,40,-757,Production,Blacksmithing
Dagger,"Smithing Hammer, Metal Dagger Blade, Metal Hilt, (3)Chunk of Coal",107,50,-82,Production,Blacksmithing
Dark Aqua Dye,"Tanning Knife, (4)Maple Tree Bark, Pine Resin, Creosote, (2)Chunk of Coal",175,,-175,Refining,Tanning
Dark Blue Dye,"Tanning Knife, (8)Maple Tree Bark, Creosote, (2)Chunk of Coal",263,,-263,Refining,Tanning
Dark Brown Dye,"Tanning Knife, (5)Pine Tree Bark, (2)Cinnamon Bark, Creosote, (2)Chunk of Coal",183,,-183,Refining,Tanning
Dark Green Dye,"Tanning Knife, (8)Pine Tree Bark, Creosote, (2)Chunk of Coal",263,,-263,Refining,Tanning
Dark Grey Dye,"Tanning Knife, (4)Maple Tree Bark, (4)Pine Tree Bark, Creosote, (2)Chunk of Coal",263,,-263,Refining,Tanning
Dark Orange Dye,"Tanning Knife, (5)Pumpkin, Creosote, (2)Chunk of Coal",12,,-12,Refining,Tanning
Dark Pink Dye,"Tanning Knife, (20)Tomato, Creosote, (2)Chunk of Coal",47,,-47,Refining,Tanning
Dark Purple Dye,"Tanning Knife, (5)Maple Tree Bark, (2)Cinnamon Bark, Creosote, (2)Chunk of Coal",183,,-183,Refining,Tanning
Dark Red Dye,"Tanning Knife, (15)Apple, Creosote, (2)Chunk of Coal",22,,-22,Refining,Tanning
Dark Yellow Dye,"Tanning Knife, (10)Banana, Creosote, (2)Chunk of Coal",37,5,-34.5,Refining,Tanning
Deer Carcass,,5,5,-2.5,Gathering,Gathering
Diamond Fragment,,1,1,-0.5,Gathering,Gathering
Diamond,"Mortar and Pestle, (400)Diamond Fragment, (10)Mandrake Root",420,200,-320,Production,Alchemy
Dinner Bench,"Carpentry Hammer, (5)Wooden Boards, (3)Wooden Pole",51,11,-45.5,Production,Carpentry
Dinner Chair,"Carpentry Hammer, (7)Wooden Boards, (3)Wooden Pole",57,10,-52,Production,Carpentry
Dresser,"Carpentry Hammer, (13)Wooden Boards",39,30,-24,Production,Carpentry
Duck Carcass,,0,,0,Gathering,Gathering
Duck Meat,"Cleaver, Duck Carcass",0,,0,Refining,Butchery
Edged Chisel,,0,25,12.5,Tool,Tool
Egg,,4,4,-2,Gathering,Gathering
Emerald Fragment,,1,1,-0.5,Gathering,Gathering
Emerald Gem,,0,,0,Gathering,Gathering
Emerald,"Mortar and Pestle, (400)Emerald Fragment, (10)Mandrake Root",420,200,-320,Production,Alchemy
Empty Flask,,0,,0,Gathering,Gathering
Empty Glass Jar,,5,5,-2.5,Gathering,Gathering
Enchantment,"Mortar and Pestle, Crafted Equipable, (10)Mandrake Root, (5)Gold Ingot",135,,-135,Production,Alchemy
Epic Cloth Boots,"Tailoring Scissors, Bone Needle, (3)Bolt of Cloth, (3)Wax",192,35,-174.5,Production,Tailoring
Epic Cloth Chest Armor,"Tailoring Scissors, Bone Needle, (10)Bolt of Cloth, (4)Wax",628,70,-593,Production,Tailoring
Epic Cloth Chest Quarter-Armor,"Tailoring Scissors, Bone Needle, (6)Bolt of Cloth, Strap, (4)Wax",385,,-385,Production,Tailoring
Epic Cloth Gauntlets,"Tailoring Scissors, Bone Needle, (3)Bolt of Cloth, (3)Wax, SStrap",192,20,-182,Production,Tailoring
Epic Cloth Helm,"Tailoring Scissors, Bone Needle, (4)Bolt of Cloth, (2)Strap, (3)Wax",264,30,-249,Production,Tailoring
Epic Cloth Leggings Quarter-Armor,"Tailoring Scissors, Bone Needle, (5)Bolt of Cloth, (4)Wax",318,,-318,Production,Tailoring
Epic Cloth Leggings,"Tailoring Scissors, Bone Needle, (7)Bolt of Cloth, (4)Wax, Strap",447,56,-419,Production,Tailoring
Epic Iron Plate Helm,"Smithing Hammer, Edged Chisel, (4)Metal Sheet, (2)Metal Binding, (3)Chunk of Coal",349,106,-296,Production,Blacksmithing
Epic Leather Boots,"Tailoring Scissors, Rawhide Mallet, (2)Yard of Leather, Strap, (3)Wax",87,40,-67,Production,Tailoring
Epic Leather Chest Armor,"Tailoring Scissors, Rawhide Mallet, (8)Yard of Leather, (2)Metal Binding, (4)Strap, (4)Wax",384,80,-344,Production,Tailoring
Epic Leather Chest Quarter-Armor,"Tailoring Scissors, Rawhide Mallet, (5)Yard of Leather, (3)Strap, (4)Wax",213,,-213,Production,Tailoring
Epic Leather Gloves,"Tailoring Scissors, Rawhide Mallet, (2)Strap, (2)Yard of Leather, (3)Wax",92,,-92,Production,Tailoring
Epic Leather Helm,"Tailoring Scissors, Rawhide Mallet, (3)Strap, (3)Wax, (3)Yard of Leather",135,35,-117.5,Production,Tailoring
Epic Leather Leggings Quarter-Armor,"Tailoring Scissors, Rawhide Mallet, (3)Yard of Leather, (3)Strap, (4)Wax",137,,-137,Production,Tailoring
Epic Leather Leggings,"Tailoring Scissors, Rawhide Mallet, (5)Yard of Leather, (5)Strap, (4)Wax",223,62,-192,Production,Tailoring
Epic Plate Boots,"Smithing Hammer, Edged Chisel, (3)Metal Sheet, (2)Chunk of Coal",222,136,-154,Production,Blacksmithing
Epic Plate Chest Armor,"Smithing Hammer, Edged Chisel, (8)Metal Sheet, (4)Metal Binding, (2)Strap, (3)Chunk of Coal",699,190,-604,Production,Blacksmithing
Epic Plate Chest Half-Armor,"Smithing Hammer, Edged Chisel, (6)Metal Sheet, (4)Metal Binding, (3)Chunk of Coal",545,170,-460,Production,Blacksmithing
Epic Plate Chest Quarter-Armor,"Smithing Hammer, Edged Chisel, (4)Metal Sheet, (4)Metal Binding, (3)Chunk of Coal",401,,-401,Production,Blacksmithing
Epic Plate Gauntlets,"Smithing Hammer, Edged Chisel, (2)Metal Sheet, (3)Metal Binding, (3)Chunk of Coal",231,114,-174,Production,Blacksmithing
Epic Plate Helm,"Smithing Hammer, Edged Chisel, (4)Metal Sheet, (2)Metal Binding, (3)Chunk of Coal",349,,-349,Production,Blacksmithing
Epic Plate Leggings Half-Armor,"Smithing Hammer, Edged Chisel, (4)Metal Sheet, (3)Metal Binding, (3)Chunk of Coal",375,135,-307.5,Production,Blacksmithing
Epic Plate Leggings Quarter-Armor,"Smithing Hammer, Edged Chisel, (3)Metal Sheet, (3)Metal Binding, (3)Chunk of Coal",303,,-303,Production,Blacksmithing
Epic Plate Leggings,"Smithing Hammer, Edged Chisel, (5)Metal Sheet, (3)Metal Binding, (2)Strap, (3)Chunk of Coal",457,135,-389.5,Production,Blacksmithing
Explosive Potion,"Mortar and Pestle, (10)Sulfurous Ash, (3)Black Pearl, Empty Flask",39,100,11,Production,Alchemy
Fabric Scrap,,0,,0,Gathering,Gathering
Fabric,"Loom Shuttle, (15)Spool of Cotton Thread",300,25,-287.5,Refining,Textiles
Fancy Bed,"Carpentry Hammer, (2)Wooden Bed Frame, Cloth Mattress, (10)Wooden Boards",558,150,-483,Production,Carpentry
Fancy Stool,"Carpentry Hammer, (2)Wooden Boards, (4)Wooden Pole",54,11,-48.5,Production,Carpentry
Fancy Tiara,"Smithing Hammer, Wire Pliers, Edged Chisel, (3)Coil of Metal Wire, (3)Chunk of Coal",156,100,-106,Production,Blacksmithing
Fat,"Cleaver, Deer Carcass",5,1,-4.5,Refining,Butchery
Fat,"Cleaver, Sheep Carcass",3,,-3,Refining,Butchery
Fat,"Cleaver, Pig Carcass",3,,-3,Refining,Butchery
Fishing Line,"Tailoring Scissors, (3)Leather, (2)Wax",58,10,-53,Production,Tailoring
Fishing Rod Shaft,"Cubit Measure, (4)Maple Wood, Wax",22,20,-12,Refining,Milling
Fishing Rod Shaft,"Cubit Measure, (4)Pine Wood, Wax",22,,-22,Refining,Milling
Fishing Rod,"Carpentry Hammer, Fishing Rod Shaft, Fishing Line, Wax",82,20,-72,Production,Carpentry
Flask of Beef Stock,"Cooking Pot, (10)Animal Bone, Bovine Meat, Flask of Cooking Oil, (2)Onion, Garlic, Pepper, Empty Flask",52,25,-39.5,Production,Cooking
Flask of Cooking Oil,"Cooking Pot, (12)Pecan Nuts, Empty Flask",24,25,-11.5,Production,Cooking
Flask of Vinegar,"Cooking Pot, Bottle of Wine, Jar of Yeast Culture, Empty Flask",30,25,-17.5,Production,Cooking
Flute,"Carpentry Hammer, Wood Chisel, Wooden Pole, (5)Wax",22,5,-19.5,Production,Carpentry
Focus Potion,"Mortar and Pestle, (10)Mandrake Root, (3)Sulfurous Ash, Empty Flask",29,40,-9,Production,Alchemy
Fustian Bow String,"Tailoring Scissors, (5)Spool of Fustian Thread, Wax",642,,-642,Production,Tailoring
Fustian Cloth Boots with Hardened Leather,"Tailoring Scissors, Bone Needle, (2)Bolt of Fustian Cloth, Yard of Hardened Leather, (3)Wax",764,70,-729,Production,Tailoring
Fustian Cloth Chest Armor with Bronze Binding and Hardened Leather,"Tailoring Scissors, Bone Needle, (5)Bolt of Fustian Cloth, (3)Bronze Binding, (2)Yard of Hardened Leather, (4)Wax",2187,70,-2152,Production,Tailoring
Fustian Cloth Chest Armor with Copper Binding and Hardened Leather,"Tailoring Scissors, Bone Needle, (5)Bolt of Fustian Cloth, (3)Copper Binding, (2)Yard of Hardened Leather, (4)Wax",1860,70,-1825,Production,Tailoring
Fustian Cloth Chest Armor with Copper Binding and Leather,"Tailoring Scissors, Bone Needle, (5)Bolt of Fustian Cloth, (3)Copper Binding, (2)Yard of Leather, (4)Wax",1452,70,-1417,Production,Tailoring
Fustian Cloth Chest Armor with Copper Binding and Supple Leather,"Tailoring Scissors, Bone Needle, (5)Bolt of Fustian Cloth, (3)Copper Binding, (2)Yard of Supple Leather, (4)Wax",1860,70,-1825,Production,Tailoring
Fustian Cloth Chest Armor with Iron Binding and Hardened Leather,"Tailoring Scissors, Bone Needle, (5)Bolt of Fustian Cloth, (3)Iron Binding, (2)Yard of Hardened Leather, (4)Wax",1860,70,-1825,Production,Tailoring
Fustian Cloth Chest Armor with Iron Binding and Leather,"Tailoring Scissors, Bone Needle, (5)Bolt of Fustian Cloth, (3)Iron Binding, (2)Yard of Leather, (4)Wax",1452,70,-1417,Production,Tailoring
Fustian Cloth Chest Armor with Iron Binding and Supple Leather,"Tailoring Scissors, Bone Needle, (5)Bolt of Fustian Cloth, (3)Iron Binding, (2)Yard of Supple Leather, (4)Wax",1860,70,-1825,Production,Tailoring
Fustian Cloth Chest Armor with White Iron Binding and Supple Leather,"Tailoring Scissors, Bone Needle, (5)Bolt of Fustian Cloth, (3)White Iron Binding, (2)Yard of Supple Leather, (4)Wax",2367,70,-2332,Production,Tailoring
Fustian Cloth Leggings with Bronze Binding and Leather,"Tailoring Scissors, Bone Needle, (4)Bolt of Fustian Cloth, (2)Bronze Binding, Yard of Leather, (3)Wax",1346,70,-1311,Production,Tailoring
Fustian Cloth Leggings with Bronze Binding and Supple Leather,"Tailoring Scissors, Bone Needle, (4)Bolt of Fustian Cloth, (2)Bronze Binding, Yard of Supple Leather, (3)Wax",1550,70,-1515,Production,Tailoring
Fustian Cloth Leggings with Copper Binding and Hardened Leather,"Tailoring Scissors, Bone Needle, (4)Bolt of Fustian Cloth, (2)Copper Binding, Yard of Hardened Leather, (3)Wax",1332,70,-1297,Production,Tailoring
Fustian Cloth Leggings with Copper Binding and Leather,"Tailoring Scissors, Bone Needle, (4)Bolt of Fustian Cloth, (2)Copper Binding, Yard of Leather, (3)Wax",1128,70,-1093,Production,Tailoring
Fustian Cloth Leggings with Copper Binding and Supple Leather,"Tailoring Scissors, Bone Needle, (4)Bolt of Fustian Cloth, (2)Copper Binding, Yard of Supple Leather, (3)Wax",1332,70,-1297,Production,Tailoring
Fustian Cloth Leggings with Iron Binding and Hardened Leather,"Tailoring Scissors, Bone Needle, (4)Bolt of Fustian Cloth, (2)Iron Binding, Yard of Hardened Leather, (3)Wax",1332,70,-1297,Production,Tailoring
Fustian Cloth Leggings with Iron Binding and Supple Leather,"Tailoring Scissors, Bone Needle, (4)Bolt of Fustian Cloth, (2)Iron Binding, Yard of Supple Leather, (3)Wax",1332,70,-1297,Production,Tailoring
Fustian Cloth Straps,"Loom Shuttle, Spool of Fustian Thread, Wax",130,5,-127.5,Refining,Textiles
Gaiaism Gem,"Mortar and Pestle, Emerald, (10)Mandrake Root",440,100,-390,Production,Alchemy
Gaiaism Jewel,"Mortar and Pestle, Emerald, (5)Mandrake Root",430,100,-380,Production,Alchemy
Garlic Cheese Bread,"Cooking Pot, (4)Sack of Flour, Wedge of Cheese, Butter, Onion, Flask of Cooking Oil, Sack of Salt, Garlic",79,25,-66.5,Production,Cooking
Garlic,,2,2,-1,Gathering,Gathering
Garnet Fragment,,1,1,-0.5,Gathering,Gathering
Garnet Gem,,0,,0,Gathering,Gathering
Garnet,"Mortar and Pestle, (400)Garnet Fragment, (10)Mandrake Root",420,200,-320,Production,Alchemy
Gated Rough Stone Fence,"Smelting Tongs, (25)Granite Block, (5)Metal Binding",255,50,-230,Refining,Smelting
Gated Rough Wooden Fence,"Carpentry Hammer, (12)Maple Wood, (5)Metal Binding",190,0,-190,Production,Carpentry
Gated Rough Wooden Fence,"Carpentry Hammer, (12)Pine Wood, (5)Metal Binding",190,,-190,Production,Carpentry
Gated Tall Rough Stone Fence,"Smelting Tongs, (35)Granite Block, (5)Metal Binding",305,,-305,Refining,Smelting
Gem Fragment,,0,,0,Gathering,Gathering
Gem Socketed Chest Armor,"Mortar and Pestle, Cut Gem, Crafted Chest Armor, (10)Mandrake Root",20,1,-19.5,Production,Alchemy
Gem Socketed One-handed Weapon,"Mortar and Pestle, Cut Gem, Crafted Weapon, (10)Mandrake Root",95,,-95,Production,Alchemy
Gem Socketed Two-handed Weapon,"Mortar and Pestle, (2)Cut Gem, Crafted Two-handed Weapon, (10)Mandrake Root",20,1,-19.5,Production,Alchemy
Giant Rough Stone Paver,"Smelting Tongs, Stone Chisel, (23)Granite Block",115,,-115,Refining,Smelting
Gold Ingot,"Smelting Tongs, Ingot Mold, (4)Gold Ore, Chunk of Coal",23,1,-22.5,Refining,Smelting
Gold Ore,,5,5,-2.5,Gathering,Gathering
Goldenrod Timber,"Cubit Measure, (2)Pine Timber, Sooty Bark, (4)Creosote",108,10,-103,Refining,Milling
Gothic Chair,"Carpentry Hammer, Wood Chisel, Sturdy Chair, (2)Wooden Boards",15,25,-2.5,Production,Carpentry
Gothic Table,"Carpentry Hammer, Wood Chisel, Sturdy Table, (4)Wooden Boards",27,,-27,Production,Carpentry
Granite Block,,5,5,-2.5,Gathering,Gathering
Gravestone,"Smelting Tongs, Stone Chisel, (11)Granite Block",55,,-55,Refining,Smelting
Great Axe Head Mold,,0,,0,Tool,Tool
Great Sword,"Smithing Hammer, Iron Great Sword Blade, Iron Hilt, Chunk of Coal",193,188,-99,Production,Blacksmithing
Green Dye,"Tanning Knife, (8)Pine Tree Bark, (2)Chunk of Coal",262,,-262,Refining,Tanning
Green Stall Awning,"Carpentry Hammer, (20)Wooden Boards, (10)Bolt of Cloth, Green Dye",942,,-942,Production,Carpentry
Grey Dye,"Tanning Knife, (4)Maple Tree Bark, (4)Pine Tree Bark, (2)Chunk of Coal",262,,-262,Refining,Tanning
Grey Pine Binding,"Wood Rasp, Grey Pine Timber, (3)Wax",178,5,-175.5,Production,Carpentry
Grey Pine Board,"Cubit Measure, Grey Pine Timber, Creosote",173,,-173,Refining,Milling
Grey Pine Handle,"Carpentry Hammer, Grey Pine Timber, Wax",174,90,-129,Production,Carpentry
Grey Pine Heartwood,"Wood Rasp, (4)Grey Pine Timber, Wax",690,30,-675,Production,Carpentry
Grey Pine Long Bow with Carapacian Bow String,"Carpentry Hammer, Long Grey Pine Bowstave, (2)Carapacian Bow String, (5)Wax",3016,200,-2916,Production,Carpentry
Grey Pine Long Bow with Fustian Bow String,"Carpentry Hammer, Long Grey Pine Bowstave, (2)Fustian Bow String, (5)Wax",3016,200,-2916,Production,Carpentry
Grey Pine Long Bow with Hardened Leather Bow String,"Carpentry Hammer, Long Grey Pine Bowstave, (2)Hardened Leather Bow String, (5)Wax",2936,200,-2836,Production,Carpentry
Grey Pine Long Bow with Leather Bow String,"Carpentry Hammer, Long Grey Pine Bowstave, (2)Leather Bow String, (5)Wax",1916,200,-1816,Production,Carpentry
Grey Pine Long Bow with Supple Leather Bow String,"Carpentry Hammer, Long Grey Pine Bowstave, (2)Supple Leather Bow String, (5)Wax",2936,200,-2836,Production,Carpentry
Grey Pine Pole,"Cubit Measure, (6)Grey Pine Timber, Wax",1034,20,-1024,Refining,Milling
Grey Pine Short Bow with Carapacian Bow String,"Carpentry Hammer, Grey Pine Short Bowstave, Carapacian Bow String, (5)Wax",2030,150,-1955,Production,Carpentry
Grey Pine Short Bow with Cotton Bow String,"Carpentry Hammer, Grey Pine Short Bowstave, Cotton Bow String, (5)Wax",1490,150,-1415,Production,Carpentry
Grey Pine Short Bow with Fustian Bow String,"Carpentry Hammer, Grey Pine Short Bowstave, Fustian Bow String, (5)Wax",2030,150,-1955,Production,Carpentry
Grey Pine Short Bow with Hardened Leather Bow String,"Carpentry Hammer, Grey Pine Short Bowstave, Hardened Leather Bow String, (5)Wax",1990,150,-1915,Production,Carpentry
Grey Pine Short Bow with Leather Bow String,"Carpentry Hammer, Grey Pine Short Bowstave, Leather Bow String, (5)Wax",1480,150,-1405,Production,Carpentry
Grey Pine Short Bow with Supple Leather Bow String,"Carpentry Hammer, Grey Pine Short Bowstave, Supple Leather Bow String, (5)Wax",1990,150,-1915,Production,Carpentry
Grey Pine Short Bowstave,"Wood Rasp, (8)Grey Pine Timber, Wax",1378,170,-1293,Production,Carpentry
Grey Pine Strip,"Cubit Measure, (4)Grey Pine Timber, Wax",690,24,-678,Refining,Milling
Grey Pine Timber,"Cubit Measure, (4)Pine Timber, (4)Creosote, Pine Resin",172,70,-137,Refining,Milling
Grey Pine Wand with Bronze Core,"Carpentry Hammer, Grey Pine Heartwood, Bronze Core, Wax",1091,1,-1090.5,Production,Carpentry
Grey Pine Wand with Constantan Core,"Carpentry Hammer, Grey Pine Heartwood, Constantan Core, Wax",1091,1,-1090.5,Production,Carpentry
Grey Pine Wand with Copper Core,"Carpentry Hammer, Grey Pine Heartwood, Copper Core, Wax",764,1,-763.5,Production,Carpentry
Grey Pine Wand with Iron Core,"Carpentry Hammer, Grey Pine Heartwood, Iron Core, Wax",764,1,-763.5,Production,Carpentry
Grey Pine Wand with Meteoric Iron Core,"Carpentry Hammer, Grey Pine Heartwood, Meteoric Iron Core, Wax",1271,1,-1270.5,Production,Carpentry
Grey Pine Wand with White Iron Core,"Carpentry Hammer, Grey Pine Heartwood, White Iron Core, Wax",1271,1,-1270.5,Production,Carpentry
Guillotine,"Carpentry Hammer, (3)Pine Board, (3)Wood Scrap, Coil of Rope, Iron Great Axe Blade",290,75,-252.5,Production,Carpentry
Guillotine,"Carpentry Hammer, (3)Maple Board, (3)Wood Scrap, Coil of Rope, Iron Great Axe Blade",290,,-290,Production,Carpentry
Halberd Blade Mold,,0,,0,Tool,Tool
Halberd,"Carpentry Hammer, Metal Halberd Blade, Wooden Handle, (5)Wax",155,115,-97.5,Production,Carpentry
Hammer Head Mold,,0,,0,Tool,Tool
Hand Axe Head Mold,,0,,0,Tool,Tool
Hand Axe,"Smithing Hammer, Metal Hand Axe Blade, Wooden Handle, Chunk of Coal",79,77,-40.5,Production,Blacksmithing
Hard Maple Binding,"Wood Rasp, Hard Maple Timber, (3)Wax",178,5,-175.5,Production,Carpentry
Hard Maple Board,"Cubit Measure, Hard Maple Timber, Creosote",173,,-173,Refining,Milling
Hard Maple Bowstave,"Wood Rasp, (10)Hard Maple Timber, Wax",1722,,-1722,Production,Carpentry
Hard Maple Handle,"Carpentry Hammer, (5)Hard Maple Timber, Wax",862,90,-817,Production,Carpentry
Hard Maple Heartwood,"Wood Rasp, (4)Hard Maple Timber, Wax",690,30,-675,Production,Carpentry
Hard Maple Long Bow with Carapacian Bow String,"Carpentry Hammer, Long Hard Maple Bowstave, (2)Carapacian Bow String, (5)Wax",3016,200,-2916,Production,Carpentry
Hard Maple Long Bow with Fustian Bow String,"Carpentry Hammer, Hard Maple Bowstave, (2)Fustian Bow String, (5)Wax",3016,200,-2916,Production,Carpentry
Hard Maple Long Bow with Hardened Leather Bow String,"Carpentry Hammer, Long Hard Maple Bowstave, (2)Hardened Leather Bow String, (5)Wax",2936,200,-2836,Production,Carpentry
Hard Maple Long Bow with Leather Bow String,"Carpentry Hammer, Long Hard Maple Bowstave, (2)Leather Bow String, (5)Wax",1916,200,-1816,Production,Carpentry
Hard Maple Long Bow with Supple Leather Bow String,"Carpentry Hammer, Long Hard Maple Bowstave, (2)Supple Leather Bow String, (5)Wax",2936,200,-2836,Production,Carpentry
Hard Maple Pole,"Cubit Measure, (6)Hard Maple Timber, Wax",1034,20,-1024,Refining,Milling
Hard Maple Short Bow with Carapacian Bow String,"Carpentry Hammer, Hard Maple Short Bowstave, Carapacian Bow String, (5)Wax",2030,150,-1955,Production,Carpentry
Hard Maple Short Bow with Cotton Bow String,"Carpentry Hammer, Hard Maple Short Bowstave, Cotton Bow String, (5)Wax",1490,150,-1415,Production,Carpentry
Hard Maple Short Bow with Fustian Bow String,"Carpentry Hammer, Hard Maple Short Bowstave, Fustian Bow String, (5)Wax",2030,150,-1955,Production,Carpentry
Hard Maple Short Bow with Hardened Leather Bow String,"Carpentry Hammer, Hard Maple Short Bowstave, Hardened Leather Bow String, (5)Wax",1990,150,-1915,Production,Carpentry
Hard Maple Short Bow with Leather Bow String,"Carpentry Hammer, Hard Maple Short Bowstave, Leather Bow String, (5)Wax",1480,150,-1405,Production,Carpentry
Hard Maple Short Bow with Supple Leather Bow String,"Carpentry Hammer, Hard Maple Short Bowstave, Supple Leather Bow String, (5)Wax",1990,150,-1915,Production,Carpentry
Hard Maple Short Bowstave,"Wood Rasp, (8)Hard Maple Timber, Wax",1378,170,-1293,Production,Carpentry
Hard Maple Strip,"Cubit Measure, (4)Hard Maple Timber, Wax",690,24,-678,Refining,Milling
Hard Maple Timber,"Cubit Measure, (4)Maple Timber, (4)Creosote, Sooty Bark",172,,-172,Refining,Milling
Hard Maple Wand with Bronze Core,"Carpentry Hammer, Hard Maple Heartwood, Bronze Core, Wax",1091,200,-991,Production,Carpentry
Hard Maple Wand with Constantan Core,"Carpentry Hammer, Hard Maple Heartwood, Constantan Core, Wax",1091,200,-991,Production,Carpentry
Hard Maple Wand with Copper Core,"Carpentry Hammer, Hard Maple Heartwood, Copper Core, Wax",764,1,-763.5,Production,Carpentry
Hard Maple Wand with Cotton Cloth Strap,"Carpentry Hammer, Hard Maple Heartwood, Cotton Cloth Strap, (3)Wax",718,50,-693,Production,Carpentry
Hard Maple Wand with Meteoric Iron Core,"Carpentry Hammer, Hard Maple Heartwood, Meteoric Iron Core, Wax",1271,200,-1171,Production,Carpentry
Hard Maple Wand with White Iron Core,"Carpentry Hammer, Hard Maple Heartwood, White Iron Core, Wax",1271,200,-1171,Production,Carpentry
Hard Maple Wood Staff,"Wood Rasp, (6)Hard Maple Timber, Wax",1034,,-1034,Production,Carpentry
Hardened Leather Bow String,"Tailoring Scissors, (5)Hardened Leather, Curing Salt",602,1,-601.5,Production,Tailoring
Hardened Leather Gloves,"Tailoring Scissors, Yard of Hardened Leather, (3)Hardened Leather Straps, Wax",610,11,-604.5,Production,Tailoring
Hardened Leather Straps,"Tanning Knife, Hardened Leather, Curing Salt",122,1,-121.5,Refining,Tanning
Hardened Leather,"Tanning Knife, (4)Leather, (4)Curing Salt, Beetle Carapace",120,80,-80,Refining,Tanning
Harp,"Carpentry Hammer, (5)Wooden Boards, (21)Lute String, (4)Wax",485,,-485,Production,Carpentry
Haste Potion,"Mortar and Pestle, (8)Sulfurous Ash, (8)Mandrake Root, Empty Flask",40,100,10,Production,Alchemy
Headstone,"Smelting Tongs, Stone Chisel, (4)Granite Block",20,10,-15,Refining,Smelting
Health Potion,"Mortar and Pestle, (10)Garlic, (3)Corpse Wax, Empty Flask",29,40,-9,Production,Alchemy
Heartwood,"Wood Rasp, (4)Wooden Timber, Wax",10,5,-7.5,Production,Carpentry
Heavy War Hammer Head Mold,,0,,0,Tool,Tool
Heavy War Hammer,"Smithing Hammer, Metal Heavy War Hammer Head, Wooden Handle, Chunk of Coal",148,130,-83,Production,Blacksmithing
Hedge Archway,"Carpentry Hammer, (6)Plant, (3)Pine Wood",27,50,-2,Production,Carpentry
Hedge Archway,"Carpentry Hammer, (6)Plant, (3)Maple Wood",27,,-27,Production,Carpentry
Hedge Layer Cake,"Carpentry Hammer, (20)Plant, (2)Maple Wood",50,100,0,Production,Carpentry
Hedge Layer Cake,"Carpentry Hammer, (20)Plant, (2)Pine Wood",50,,-50,Production,Carpentry
Hedge Sphere Tree,"Carpentry Hammer, (12)Plant, (2)Granite Block",34,50,-9,Production,Carpentry
Hedge Spiral Tree,"Carpentry Hammer, (10)Plant, (2)Granite Block",30,50,-5,Production,Carpentry
Holly Wreath Hat,"Tailoring Scissors, Bone Needle, Plant, (2)Strap, (8)Wax",28,,-28,Production,Tailoring
Hospitaller Symbol,,0,,0,Gathering,Gathering
Hot Chisel,,0,,0,Tool,Tool
Huge Rug,"Loom Shuttle, (40)Spool of Cotton Thread",800,70,-765,Refining,Textiles
Ingot Mold,,0,,0,Tool,Tool
Iron Bar,"Smelting Tongs, Bar Mold, Chunk of Coal, Iron Ingot",26,,-26,Refining,Smelting
Iron Bar,"Smelting Tongs, Bar Mold, Chunk of Coal, (4)Iron Ore",23,4,-21,Refining,Smelting
Iron Battle Axe Blade,"Smithing Hammer, Iron Battle Axe Blank",72,35,-54.5,Production,Blacksmithing
Iron Battle Axe Blank,"Smelting Tongs, Axe Head Mold, (3)Iron Bar, Chunk of Coal",72,30,-57,Refining,Smelting
Iron Battle Axe,"Smithing Hammer, Iron Battle Axe Blade, Maple Handle",106,90,-61,Production,Blacksmithing
Iron Binding,"Smithing Hammer, Iron Ingot, Chunk of Coal",26,5,-23.5,Production,Blacksmithing
Iron Chainmail Gloves,"Smithing Hammer, Wire Pliers, (6)Coil of Iron Wire, Hardened Leather Straps, (2)Chunk of Coal",422,47,-398.5,Production,Blacksmithing
Iron Core,"Smelting Tongs, Core Mold, (3)Iron Ingot, Chunk of Coal",72,1,-71.5,Refining,Smelting
Iron Cutlass Blade,"Smithing Hammer, Iron Cutlass Blank",95,,-95,Production,Blacksmithing
Iron Cutlass Blank,"Smelting Tongs, Blade Mold, Chunk of Coal, (2)Iron Bar, (2)Iron Ingot",95,,-95,Refining,Smelting
Iron Cutlass,"Smithing Hammer, Chunk of Coal, Iron Cutlass Blade, Iron Hilt",147,,-147,Production,Blacksmithing
Iron Dagger Blade,"Smithing Hammer, Dagger Blade Mold, (2)Iron Ingot, Chunk of Coal",49,20,-39,Production,Blacksmithing
Iron Great Axe Blade,"Smithing Hammer, Great Axe Head Mold, (6)Iron Ingot, Chunk of Coal",141,50,-116,Production,Blacksmithing
Iron Great Sword Blade,"Smithing Hammer, Iron Great Sword Blank",141,60,-111,Production,Blacksmithing
Iron Great Sword Blank,"Blade Mold, Smelting Tongs, (6)Iron Bar, Chunk of Coal",141,53,-114.5,Refining,Smelting
Iron Halberd Blade,"Smithing Hammer, Halberd Blade Mold, (6)Iron Ingot, Chunk of Coal",141,30,-126,Production,Blacksmithing
Iron Halberd with Maple Handle,"Carpentry Hammer, Iron Halberd Blade, Maple Handle, (5)Wax",185,130,-120,Production,Carpentry
Iron Hand Axe Blade,"Smithing Hammer, Hand Axe Head Mold, (3)Iron Ingot, Chunk of Coal",72,30,-57,Production,Blacksmithing
